neighbourhood,municipality,longitude,latitude,play_demand,a_00_14
Laakkwartier-West,'s-Gravenhage,4.3180824,52.0572194,6,1410
Laakkwartier-Oost,'s-Gravenhage,4.3291074,52.0601333,6,1900
Noordpolderbuurt,'s-Gravenhage,4.3414621,52.0663158,5,1470
Hoge Veld,'s-Gravenhage,4.2904563,52.0310257,7,2420
Morgenweide,'s-Gravenhage,4.3713307,52.0492854,7,1585
Singels,'s-Gravenhage,4.3631992,52.0389706,5,1085
Waterbuurt,'s-Gravenhage,4.3631992,52.0389706,6,1045
De Bras,'s-Gravenhage,4.3831807,52.0315953,5,1540
De Lanen,'s-Gravenhage,4.4035413,52.0573774,5,1500
De Vissen,'s-Gravenhage,4.4126867,52.0636724,6,1645
Neder-Hardinxveld,Hardinxveld-Giessendam,4.8419741,51.8241471,5,965
Giessendam,Hardinxveld-Giessendam,4.8419741,51.8241471,5,1185
Dorp,Hendrik-Ido-Ambacht,4.6176106,51.8437526,5,1035
Volgerlanden-West,Hendrik-Ido-Ambacht,4.6481189,51.8319652,6,1795
Centrum Grootebroek,Stede Broec,5.2229184,52.6982227,5,975
Plan Zuid en Princenhof,Stede Broec,5.2496041,52.6984453,5,940
Kortland-Noord,Krimpen aan den IJssel,4.5910743,51.9189403,7,1170
Kortland-Zuid,Krimpen aan den IJssel,4.6049682,51.9144235,7,1235
Langeland,Krimpen aan den IJssel,4.6234097,51.9176753,6,1230
De Kooi,Leiden,4.5086017,52.162336,5,955
Slaaghwijk,Leiden,4.5093401,52.1769334,5,925
Uitbreiding dorpskern Nieuwkoop,Nieuwkoop,4.777359,52.1500559,6,1215
Dorpskern,Noordwijk,4.4408403,52.2194329,6,1400
Noordwijkerhout,Noordwijk,4.4955838,52.2601939,6,1950
Westpolder,Papendrecht,4.6803905,51.830686,6,1465
Kraaihoek,Papendrecht,4.6914672,51.8289217,7,970
Wilgendonk,Papendrecht,4.7024877,51.8364214,5,1030
Oost,Ridderkerk,4.6027016,51.8615428,7,1000
Drievliet,Ridderkerk,4.6266911,51.8592785,7,1155
Slikkerveer,Ridderkerk,4.6052313,51.8865991,6,1565
Bolnes,Ridderkerk,4.5793958,51.8876069,7,1045
Stadsdriehoek,Rotterdam,4.4868516,51.9176582,7,1295
Oude Westen,Rotterdam,4.4660891,51.919772,6,1260
Delfshaven,Rotterdam,4.4585002,51.9028408,5,850
Bospolder,Rotterdam,4.442312,51.9080879,5,1215
Tussendijken,Rotterdam,4.4422433,51.9127262,5,1275
Spangen,Rotterdam,4.4366362,51.9182359,6,2050
Nieuwe Westen,Rotterdam,4.446733,51.9205044,5,3270
Middelland,Rotterdam,4.4592135,51.9173832,6,1635
Oud Mathenesse,Rotterdam,4.4233186,51.9160876,5,1040
Schiemond,Rotterdam,4.4271047,51.9093228,7,1020
Kleinpolder,Rotterdam,4.4327096,51.9342811,7,1515
Overschie,Rotterdam,4.4242908,51.9425476,6,1120
Blijdorp,Rotterdam,4.4562769,51.9294172,7,1200
Liskwartier,Rotterdam,4.472285,51.9380852,7,1165
Oude Noorden,Rotterdam,4.4819719,51.937717,5,2700
Schiebroek,Rotterdam,4.4751291,51.9658091,7,3585
Hillegersberg Zuid,Rotterdam,4.4767883,51.945865,6,1390
Hillegersberg Noord,Rotterdam,4.4863536,51.9547782,7,1160
Molenlaankwartier,Rotterdam,4.5065996,51.9593073,6,1925
Rubroek,Rotterdam,4.4899558,51.9268133,5,1010
Oud Crooswijk,Rotterdam,4.4958649,51.9332125,5,1435
Kralingen West,Rotterdam,4.5061,51.9261967,6,2240
Kralingen Oost,Rotterdam,4.5245068,51.9294658,7,1170
De Esch,Rotterdam,4.524732,51.9109104,5,445
Kop van Zuid - Entrepot,Rotterdam,4.5053635,51.911653,7,1460
Vreewijk,Rotterdam,4.5075435,51.8850831,6,2275
Bloemhof,Rotterdam,4.5005481,51.8919713,6,2690
Hillesluis,Rotterdam,4.5138783,51.8941095,6,2335
Katendrecht,Rotterdam,4.4842992,51.9018612,6,1005
Afrikaanderwijk,Rotterdam,4.4842992,51.9018612,5,1560
Feijenoord,Rotterdam,4.5053635,51.911653,5,1595
Oud IJsselmonde,Rotterdam,4.5488395,51.8993857,5,785
Lombardijen,Rotterdam,4.5251799,51.8738149,7,2610
Groot IJsselmonde,Rotterdam,4.5453915,51.8783319,7,4865
Beverwaard,Rotterdam,4.5488395,51.8993857,7,2510
's Gravenland,Rotterdam,4.5531555,51.9257119,7,1230
Prinsenland,Rotterdam,4.5548838,51.9362452,7,1245
Het Lage Land,Rotterdam,4.5501455,51.9470301,7,1400
Ommoord,Rotterdam,4.545404,51.9578166,7,3595
Zevenkamp,Rotterdam,4.545404,51.9578166,7,2720
Oosterflank,Rotterdam,4.5501455,51.9470301,7,1435
Nesselande,Rotterdam,4.5821069,51.9829108,6,3435
Tarwewijk,Rotterdam,4.4848488,51.8952188,5,2255
Carnisse,Rotterdam,4.4867975,51.8871996,6,1925
Zuidwijk,Rotterdam,4.4911173,51.8737954,6,2405
Oud Charlois,Rotterdam,4.467456,51.887935,6,2270
Pendrecht,Rotterdam,4.4685611,51.8746537,6,2590
Hoogvliet Noord,Rotterdam,4.3725491,51.8716399,7,2145
Hoogvliet Zuid,Rotterdam,4.3600078,51.8535766,7,3375
Dorp,Rotterdam,4.1341847,51.9806322,7,1015
Rozenburg,Rotterdam,4.2471328,51.904422,7,1935
Stervoorde,Rijswijk,4.315475,52.0248062,7,1055
Nolensbuurt,Schiedam,4.3951437,51.9224408,5,895
Wibautbuurt,Schiedam,4.3763809,51.9165164,5,810
Groenoord-Midden,Schiedam,4.3706077,51.9313021,6,830
Vettenoordse Polder Oost,Vlaardingen,4.336911,51.9126785,7,935
Centrum,Vlaardingen,4.336911,51.9126785,7,820
Oostbuurt,Vlaardingen,4.3554018,51.9066987,7,920
Babberspolder Oost,Vlaardingen,4.3570546,51.9172329,6,1075
Noord-Hofland,Voorschoten,4.4578084,52.1416688,7,975
Zuidplas 80,Waddinxveen,4.6348713,52.0352383,5,825
Groot Deijleroord en Ter Weer,Wassenaar,4.4196634,52.1484196,5,920
Schilderskwartier,Woerden,4.8498876,52.0943097,7,1030
Molenvliet-West,Woerden,4.8629719,52.0751734,5,995
Stadscentrum,Zoetermeer,4.4923063,52.0619937,5,385
Palenstein,Zoetermeer,4.5090727,52.0547166,7,885
Driemanspolder,Zoetermeer,4.4845399,52.0543248,7,915
Meerzicht-West,Zoetermeer,4.4507206,52.0569335,7,1680
Meerzicht-Oost,Zoetermeer,4.474815,52.0546943,7,985
Buytenwegh,Zoetermeer,4.4690508,52.069515,7,1870
De Leyens,Zoetermeer,4.507733,52.0866321,6,1385
Seghwaert-Zuid-West,Zoetermeer,4.5107895,52.0652707,7,1135
Seghwaert-Noord-Oost,Zoetermeer,4.5102405,52.0719299,7,1640
Noordhove-Oost,Zoetermeer,4.5208371,52.0768352,5,895
Rokkeveen-West,Zoetermeer,4.4684647,52.0456444,6,945
Rokkeveen-Oost,Zoetermeer,4.5000171,52.039136,6,1935
Oosterheem-Zuid-West,Zoetermeer,4.541512,52.0534716,5,2125
Oosterheem-Noord-Oost,Zoetermeer,4.5367495,52.0642748,6,3085
Goes-Oost,Goes,3.8924636,51.5057781,5,785
Goes-Noordwest,Goes,3.8813131,51.5166751,7,1205
Kern Beneden-Leeuwen,West Maas en Waal,5.5178903,51.8823027,5,800
Kapelle,Kapelle,3.9596313,51.4847546,6,1695
Binnenstad,Middelburg,3.6135855,51.4989019,5,585
Stromenwijk/'t Zand,Middelburg,3.5934135,51.4889979,7,1095
Middelburg-Zuid,Middelburg,3.6115484,51.4831807,6,1175
Dauwendaele,Middelburg,3.6310466,51.4878403,7,1075
Arnemuiden,Middelburg,3.6759015,51.5011231,5,1005
Kern Axel,Terneuzen,3.9094234,51.2668789,6,1025
Tholen,Tholen,4.2162383,51.5332946,6,1395
Burgum,Tytsjerksteradiel,5.9913642,53.1936901,6,1500
Asten,Asten,5.7440776,51.4029943,6,1300
Gageldonk-West,Bergen op Zoom,4.3022364,51.4927932,6,955
Bergse Plaat,Bergen op Zoom,4.2694947,51.4768821,6,1135
Boxtel-Centrum,Boxtel,5.288657,51.5750154,7,895
Boxtel-Oost,Boxtel,5.341663,51.5963601,6,1575
Biesdonk,Breda,4.7853845,51.6097996,5,855
Brabantpark,Breda,4.8175264,51.5900222,7,1325
Zandberg,Breda,4.7937111,51.5830857,5,960
Ypelaar,Breda,4.8038298,51.5668526,6,825
Ginneken,Breda,4.7864229,51.5688817,5,1040
Boeimeer,Breda,4.7680893,51.5749006,6,985
Heuvel,Breda,4.7534435,51.5741762,7,1170
Tuinzigt,Breda,4.7433041,51.5904068,6,870
Princenhage,Breda,4.739248,51.5760683,6,1595
Bavel,Breda,4.8308114,51.5668739,5,905
Prinsenbeek,Breda,4.7110517,51.5992106,5,1790
Teteringen,Breda,4.8236992,51.6100996,6,1390
Deurne-Centrum,Deurne,5.7863171,51.464512,5,655
Oude Pekela,Pekela,7.0064744,53.1032425,6,1070
Generalenbuurt,Eindhoven,5.4778796,51.4582607,5,715
